from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second_grammy_category,grammy year,number of grammys per album,number of grammy nominations per album
mk,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mk,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
tw,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
bbd,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ma,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
dbs,ma,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,ma,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ap,dbs,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,ma,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,dbs,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
mm,ap,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,bm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,stm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,es,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,jq,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,la,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,cim,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,tp,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,kw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,mk,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,tw,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,bbd,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,ma,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,dbs,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,ap,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
ps,mm,Beauty Behind The Madness,3,5,2015,1,,2016,0,1
es,jag,X,3,,2014,1,4,2015,0,2
ph,es,X,3,,2014,1,4,2015,0,2
ph,jag,X,3,,2014,1,4,2015,0,2
bb,es,X,3,,2014,1,4,2015,0,2
bb,jag,X,3,,2014,1,4,2015,0,2
bb,ph,X,3,,2014,1,4,2015,0,2
rr,es,X,3,,2014,1,4,2015,0,2
rr,jag,X,3,,2014,1,4,2015,0,2
rr,ph,X,3,,2014,1,4,2015,0,2
rr,bb,X,3,,2014,1,4,2015,0,2
eh,es,X,3,,2014,1,4,2015,0,2
eh,jag,X,3,,2014,1,4,2015,0,2
eh,ph,X,3,,2014,1,4,2015,0,2
eh,bb,X,3,,2014,1,4,2015,0,2
eh,rr,X,3,,2014,1,4,2015,0,2
jeb,es,X,3,,2014,1,4,2015,0,2
jeb,jag,X,3,,2014,1,4,2015,0,2
jeb,ph,X,3,,2014,1,4,2015,0,2
jeb,bb,X,3,,2014,1,4,2015,0,2
jeb,rr,X,3,,2014,1,4,2015,0,2
jeb,eh,X,3,,2014,1,4,2015,0,2
jmd,es,X,3,,2014,1,4,2015,0,2
jmd,jag,X,3,,2014,1,4,2015,0,2
jmd,ph,X,3,,2014,1,4,2015,0,2
jmd,bb,X,3,,2014,1,4,2015,0,2
