from,to,album title,primary genre,secondary genre,year of publishing,first grammy category,second grammy category,grammy year,number of grammys per album,number of grammy nominations per album
tpa,st,Positions,3,,2020,4,,2022,0,1
tpa,sy,Positions,3,,2020,4,,2022,0,1
tpa,trs,Positions,3,,2020,4,,2022,0,1
tpa,nam,Positions,3,,2020,4,,2022,0,1
tpa,tr,Positions,3,,2020,4,,2022,0,1
tpa,kod,Positions,3,,2020,4,,2022,0,1
tpa,ss,Positions,3,,2020,4,,2022,0,1
tpa,amj,Positions,3,,2020,4,,2022,0,1
tpa,ca,Positions,3,,2020,4,,2022,0,1
tpa,aj,Positions,3,,2020,4,,2022,0,1
lodt,tb,Positions,3,,2020,4,,2022,0,1
lodt,plj,Positions,3,,2020,4,,2022,0,1
lodt,arg,Positions,3,,2020,4,,2022,0,1
lodt,xv,Positions,3,,2020,4,,2022,0,1
lodt,mrf,Positions,3,,2020,4,,2022,0,1
lodt,mb,Positions,3,,2020,4,,2022,0,1
lodt,jle,Positions,3,,2020,4,,2022,0,1
lodt,st,Positions,3,,2020,4,,2022,0,1
lodt,sy,Positions,3,,2020,4,,2022,0,1
lodt,trs,Positions,3,,2020,4,,2022,0,1
lodt,nam,Positions,3,,2020,4,,2022,0,1
lodt,tr,Positions,3,,2020,4,,2022,0,1
lodt,kod,Positions,3,,2020,4,,2022,0,1
lodt,ss,Positions,3,,2020,4,,2022,0,1
lodt,amj,Positions,3,,2020,4,,2022,0,1
lodt,ca,Positions,3,,2020,4,,2022,0,1
lodt,aj,Positions,3,,2020,4,,2022,0,1
lodt,tpa,Positions,3,,2020,4,,2022,0,1
jcy,tb,Positions,3,,2020,4,,2022,0,1
jcy,plj,Positions,3,,2020,4,,2022,0,1
jcy,arg,Positions,3,,2020,4,,2022,0,1
jcy,xv,Positions,3,,2020,4,,2022,0,1
jcy,mrf,Positions,3,,2020,4,,2022,0,1
jcy,mb,Positions,3,,2020,4,,2022,0,1
jcy,jle,Positions,3,,2020,4,,2022,0,1
jcy,st,Positions,3,,2020,4,,2022,0,1
jcy,sy,Positions,3,,2020,4,,2022,0,1
jcy,trs,Positions,3,,2020,4,,2022,0,1
jcy,nam,Positions,3,,2020,4,,2022,0,1
jcy,tr,Positions,3,,2020,4,,2022,0,1
jcy,kod,Positions,3,,2020,4,,2022,0,1
jcy,ss,Positions,3,,2020,4,,2022,0,1
jcy,amj,Positions,3,,2020,4,,2022,0,1
jcy,ca,Positions,3,,2020,4,,2022,0,1
jcy,aj,Positions,3,,2020,4,,2022,0,1
jcy,tpa,Positions,3,,2020,4,,2022,0,1
jcy,lodt,Positions,3,,2020,4,,2022,0,1
ojf,tb,Positions,3,,2020,4,,2022,0,1
ojf,plj,Positions,3,,2020,4,,2022,0,1
ojf,arg,Positions,3,,2020,4,,2022,0,1
ojf,xv,Positions,3,,2020,4,,2022,0,1
ojf,mrf,Positions,3,,2020,4,,2022,0,1
ojf,mb,Positions,3,,2020,4,,2022,0,1
ojf,jle,Positions,3,,2020,4,,2022,0,1
ojf,st,Positions,3,,2020,4,,2022,0,1
